Genes,FC_mem_KO_mem WT
Otx2,1.93442623
Hspb9,1.933333333
Agxt2,1.932432432
Duox2,1.93220339
Rbpms2,1.931623932
Radil,1.931034483
Gria4,1.928994083
Nespas,1.928870293
Orm3,1.928571429
Tmprss3,1.928571429
Spaca1,1.923728814
Rbm12,1.921568627
Upk3b,1.91954023
Olfr143,1.918699187
Gm29243,1.918478261
Gm45253,1.917808219
RP24-257F22.3,1.916666667
Gnat1,1.914893617
Tceal1,1.914691943
Adcy10,1.913669065
RP24-502J3.1,1.913043478
Olfr1202,1.912621359
Olfr9,1.91011236
Nlrp3,1.909224012
Klf5,1.907608696
Ermn,1.907407407
Csdc2,1.907216495
Camk2a,1.906417112
Gm6206,1.904109589
Ccsap,1.902761104
Msr1,1.902068966
Gm11549,1.9
Fzd9,1.899563319
Reln,1.899470899
Olfr414,1.899441341
Fosl1,1.894736842
Kcnk3,1.894736842
F13a1,1.891996733
Apom,1.891891892
Hist2h2bb,1.891304348
Gm16287,1.889908257
Gm14249,1.888888889
Gm20744,1.888888889
Gm44753,1.888888889
Wfikkn2,1.888888889
Zcchc13,1.888888889
Pgr15l,1.888059701
A430093F15Rik,1.887417219
Chil3,1.887019627
Gm6793,1.886792453
Ctdspl,1.884540117
Insm2,1.884297521
RP23-381I17.5,1.88372093
Edn3,1.883333333
F630040K05Rik,1.883333333
Tlr7,1.882594111
Krtap16-1,1.882352941
Ucn2,1.882352941
Chrng,1.882352941
Gm14305,1.88173913
Tsnaxip1,1.880952381
Tnfrsf11a,1.879487179
Abca9,1.878923767
Rasef,1.87826087
Olfr273,1.877777778
Pfpl,1.877777778
Chil1,1.876404494
Abca6,1.875576037
RP23-459B8.2,1.875
Ubd,1.874458874
Themis3,1.873015873
RP23-106I21.5,1.872340426
Scg2,1.872340426
Tktl2,1.870748299
Slc6a7,1.87012987
Tmem205,1.869565217
Wnt5b,1.866141732
Efnb2,1.865900383
Emx2os,1.865384615
Olfr1416,1.864285714
Rem1,1.864197531
Cd200,1.863453815
RP23-267J18.1,1.863157895
Ubtfl1,1.862785863
Rnd1,1.862244898
Il13ra1,1.861029412
Prss30,1.860465116
Tead4,1.859375
Zscan4a,1.857142857
Tvp23a,1.857142857
Ifi203-ps,1.855855856
Pcbd1,1.855263158
Hoxa9,1.855072464
Fut1,1.853403141
Plg,1.851851852
0610038B21Rik,1.851282051
B3gnt6,1.850899743
Plekhg6,1.85
Fjx1,1.849557522
Olfr813,1.849056604
Gm29642,1.848360656
Wfdc21,1.848360656
Mpdz,1.847507331
1110065P20Rik,1.847328244
Olfr94,1.846938776
Olfr1322,1.846153846
Gm10863,1.845724907
Tspan12,1.844827586
Klhl14,1.844444444
Ttll6,1.843137255
Dnah6,1.842696629
Gipr,1.842105263
Car9,1.841666667
Olfr215,1.840659341
Scn7a,1.84057971
Olfr353,1.84057971
Mir124a-1hg,1.840277778
Ppfia2,1.837837838
Mc5r,1.836956522
Vmn2r87,1.836734694
Tctex1d4,1.836734694
Gm1848,1.836065574
Lhfpl4,1.835897436
Stk32b,1.835164835
BC030867,1.835117773
Nat8l,1.834381551
Trp53i13,1.834285714
Vnn3,1.834080717
Shroom1,1.833333333
Erich5,1.833333333
RP23-37D14.4,1.833333333
Sox6,1.831036983
Zfp608,1.83096828
Gm9979,1.830508475
Thbs3,1.829545455
4933427I04Rik,1.828767123
Lrrc34,1.827956989
Slitrk2,1.826415094
4930532G15Rik,1.82629108
Asb10,1.826086957
